Column1,date,title,text,day,month,year,link
328, 30 mars 2021 kl. 13.46,Kaotiskt när knivman attackerade vakter,"En knivbeväpnad man har gripits efter att ha försökt knivhugga en taxichaufför och flera ordningsvakter vid Östra sjukhuset i Göteborg. Mannen gick omkring vid området nära sjukhuset entré och viftade med en kniv. Han ska också ha hoppat på biltak på parkeringen och ordningsvakter ingrep. Mannen försökte sedan fly genom att stjäla en taxi. Han högg flera gånger mot taxichauffören och högg också med kniven inne i bilen och förstörde inredningen. Mannen är i 40-årsåldern och är sedan tidigare känd av polisen. Polisen fick rekvirera en polisbuss och det krävdes insatser av både poliser och ordningsvakter för att få in mannen i fordonet. Han är nu misstänkt för försök till mord eller dråp, grov misshandel och våld mot tjänsteman. ",30,mars,2021,https://www.aftonbladet.se/nyheter/a/Ln7LBP/kaotiskt-nar-knivman-attackerade-vakter
329, 25 augusti 2020 kl. 16.28,Död man i naturområde kan vara mördad,"En man har hittats död i ett naturområde söder om  En utredning om misstänkt mord har startats, och polisen kommer att göra en teknisk undersökning på platsen där kroppen hittades. Kroppen, som inte är identifierad, ska genomgå en rättsmedicinsk undersökning för att fastställa dödsorsaken, säger polisens presstalesperson Anna Göransson. Polisen larmades till naturområdet vid 14-tiden på tisdagen. ",25,augusti,2020,https://www.aftonbladet.se/nyheter/a/JoKLe6/dod-man-i-naturomrade-kan-vara-mordad
330,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5e78a4c2c10686001103c8f6
331,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5f7b398016ce3000119006cb
332, 13 november 2019 kl. 14.49,Man gripen efter en knivskärning på spårvagn,Polisen har gripit en ung man efter en knivskärning på en spårvagn i  Göteborg Händelsen inträffade före lunch på en spårvagn på Hisingen. Två unga män blev knivskurna av en tredje. Gärningsmannen och brottsoffren kände varandra. Efter knivskärningen hoppade gärningsmannen av spårvagnen och tog en annan vagn i motsatt riktning in mot centrum. Men polisen kunde gripa honom en timme senare. ,13,november,2019,https://www.aftonbladet.se/nyheter/a/kJxgGj/man-gripen-efter-en-knivskarning-pa-sparvagn
333, 12 april 2019 kl. 11.24,Hovrätten fastställer trippelmördares dom,"Hovrätten för Västra Sverige fastställer domen mot den man i 40-årsåldern som av tingsrätten dömts för mord i tre fall. Mannen har erkänt att han mördade sin fru och parets två små barn i  Göteborg Åklagaren hade yrkat på livstids fängelse. Hovrätten bedömer straffvärdet för gärningarna till fängelse på livstid. Men en person som är allvarligt psykiskt störd döms normalt till rättspsykiatrisk vård, inte till fängelse. Hovrätten justerar däremot frågan om skadestånd. Ett syskon till gärningsmannen tillerkänns ett skadestånd på 60 000 kronor för sveda och verk, motiverat med att deras relation var mycket nära. Det var i september förra året som frun och de båda barnen hittades döda i familjens lägenhet i Frölunda, sedan mannen själv ringt och larmat polisen. ",12,april,2019,https://www.aftonbladet.se/nyheter/a/GGxvaQ/hovratten-faststaller-trippelmordares-dom
334,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5e9ff0693a217d00117a700d
335, 05 september 2020 kl. 13.58,Mannen som hotar polisen är dömd för mord,"Filmen från polisens kroppskamera är skakande och har väckt starka reaktioner. På några ögonblick förvandlas ett ingripande i  När poliserna ska omhänderta en motocrossförare skyndar en stor grupp unga män till dennes undsättning.  Händelsen inträffade i april 2019. Den ingår som bevisning i en förundersökning mot en 33-årig man som tillhör en styrande familj inom den kriminella miljön i  Göteborg Situationen lugnar snabbt ner sig när poliserna får förstärkning av ytterligare en patrull.  I ett senare förhör med polisen vägrar 33-åringen prata. Han säger bara att han förnekar brott.  Den misstänkte mannen är tidigare dömd för mord. Som 20-åring mördade han en ung man som knivskurit hans lillebror. Han dömdes till 10 års fängelse  och har sedan frigivningen fortsatt sin kriminella livsstil.  För närvarande avtjänar han ytterligare ett fängelsestraff för en grov misshandel av en man och en kvinna utanför en restaurang i Göteborg.  33-åringen ska enligt domen ha slagit kvinnan två gånger i ansiktet. Mannen slog han till marken och utdelade sedan, enligt en vittnesuppgift, sparkar mot huvudet.  I rättegången mot 33-åringen fick huvudvittnet i målet delta från en hemlig ort för sin trygghet.  Polischefen Erik Nord säger också att filmen från Angered beskriver en ganska vardaglig situation för polispatrullerna i de särskilt utsatta områdena i Göteborg.  Erik Nord riktar beröm till de utsatta poliserna som trots den hotfulla situationen behåller lugnet och ser till att situationen inte eskalerar.  Erik Nord bekräftar att de rör sig om samma personer som nyligen upprättade privata vägspärrar i Göteborgs norra förorter.  ",05,september,2020,https://www.aftonbladet.se/nyheter/a/GGz7k9/mannen-som-hotar-polisen-ar-domd-for-mord
336, 01 februari 2020 kl. 15.48,Två häktade för mord på ung man,"Två män häktades under lördagen misstänkta för mordet på en man i 20-årsåldern som hittades död i Lövgärdet i nordöstra  Göteborg Det var i början av december som mannen hittades död utomhus utanför en förskola av två förbipasserande. Kroppen hade, enligt uppgifter till GT, utsatts för kraftigt yttre våld. Åklagarmyndighetens kommunikationsdirektör Karin Rosander bekräftar att två personer är häktade i ärendet. ",01,februari,2020,https://www.aftonbladet.se/nyheter/a/kJGVqv/tva-haktade-for-mord-pa-ung-man
337, 14 januari 2021 kl. 10.36,Lärare svårt misshandlad på ungdomshem,"En lärare på ett ungdomshem i Kungälv har blivit mycket grovt misshandlad, uppger polisen på sin webbplats. Skadeläget för läraren, som enligt GP är en kvinna i 50-årsåldern, beskrivs som allvarligt men stabilt. En 16-åring har gripits och anhållits, misstänkt för att ha attackerat läraren bland annat med ett tillhygge. Vad som ligger bakom kan polisen ännu inte säga. Händelsen, som inträffade under onsdagen, rubriceras som mord- alternativt dråpförsök. ",14,januari,2021,https://www.aftonbladet.se/nyheter/a/mB5k3E/larare-svart-misshandlad-pa-ungdomshem
338, 25 maj 2020 kl. 11.51,Döms till vård efter knivdåd,En person i 30-årsåldern som knivdödat en man som tog sig in i hans lägenhet döms av  ,25,maj,2020,https://www.aftonbladet.se/nyheter/a/qL0X3z/doms-till-vard-efter-knivdad
339, 21 december 2019 kl. 16.56,Kalla fall-grupp vill ta över olösta dubbelmordet 1990,Polisens kalla fall-grupp i region Väst vill ta över utredningen av det olösta dubbelmordet i  Ansvaret för att utreda det brutala knivmordet på Olof och Vendela Jonasson ligger på enheten för grova brott i Halland. Men de har inga resurser och har inte arbetat aktivt med fallet på tio år. ,21,december,2019,https://www.aftonbladet.se/nyheter/a/1nzVlW/kalla-fall-grupp-vill-ta-over-olosta-dubbelmordet-1990
340, 03 maj 2020 kl. 14.36,Man knivskuren i halsen på krog,En man har blivit knivskuren i halsen inne på en krog i  Göteborg Gärningsmannen som nu är gripen ska även ha försökt hugga ytterligare en man med kniven. En förundersökning om försök till mord är inledd. Det finns heller inga uppgifter om att personerna ska känna varandra och polisen arbetar nu med att höra vittnen till händelsen. ,03,maj,2020,https://www.aftonbladet.se/nyheter/a/BR9GPg/man-knivskuren-i-halsen-pa-krog
341, 09 maj 2021 kl. 08.18,Misstänkt mordförsök efter skottlossning,"En man i 35-årsåldern ska natten mot söndagen ha blivit beskjuten i ett bostadsområde i Mölnlycke utanför Göteborg. Strax efter midnatt slog flera personer larm om höga smällar i ett bostadsområde. På plats sökte polisen med hund och fann flera tomhylsor. Händelsen utreds som försök till mord. Polisen har sökt i området med helikopter och hundpatrull, men ingen misstänkt har påträffats. Under dagen fortsätter arbetet med dörrknackning och förhör med målsägande och vittnen. ",09,maj,2021,https://www.aftonbladet.se/nyheter/a/gWo1oL/misstankt-mordforsok-efter-skottlossning
342, 04 maj 2021 kl. 13.32,Man åtalas för brand på HVB-hem,"En man i 50-årsåldern åtalas, misstänkt för att ha bränt ner ett HVB-hem i Arvika kommun i mars, rapporterar lokala medier. Han åtalas för bland annat grov mordbrand och krävs på 17 miljoner kronor i skadestånd. Huset, med åtta lägenheter för män med olika behov av rehabilitering, brann ner till grunden. Ingen kom dock till fysisk skada. Mannen, som själv var en av de boende på hemmet, har erkänt att det var han som startade branden. Han har genomgått en rättspsykiatrisk undersökning, som visar att han led av en allvarlig psykisk störning när han anlade elden. Enligt NWT är mannen sedan tidigare dömd för sin inblandning i två mord i Göteborg i slutet av 1990-talet. ",04,maj,2021,https://www.aftonbladet.se/nyheter/a/7K2waW/man-atalas-for-brand-pa-hvb-hem
343, 01 juli 2021 kl. 15.05,Våldets gränser har förflyttats,"  Under de senaste trettio åren har fem poliser avlidit i tjänsten.  Senaste gången var 2007. Mest kända är morden på Robert Karlström och Olle Borén i samband med rånet i Malexander 1999.  Men det är också en nyhet som tyder på att vi passerat ytterligare en gräns för vem våldet drabbar i våra förorter. Och ännu en gång sker det i Biskopsgården. Konflikten i Biskopsgården kunde 2020 enligt en sammanställning i GP kopplas till 19 mord, och gräns efter gräns har passerats.  När en 17-åring sköts ihjäl 2013 handlade rubrikerna om offrets då ovanligt unga ålder. I mars 2015 på Vår krog och bar vid Vårväderstorget tog sig tre maskerade män med automatvapen in i restaurangen. Två personer dog och åtta skadades i vad som för tankarna till en amerikansk drive-by-shooting. 2015 var Luna, 4, på väg hem från en fisketur med sin pappa när bilen de åkte i sprängdes. Ett år senare sprängdes Yuusuf, 8, till döds av en handgranat som kastades in i lägenheten.   Vad vi vet är att de 26 000 invånarna i Biskopsgården på Hisingen i Göteborg i morse vaknade i morse upp till en ny verklighet.  Invånare som skulle ta sig till jobb, skola och förskolor, men möter avspärrningar och polisbilar i ett liv som har blivit ännu mera otryggt.  Biskopsgården byggdes i mitten av förra seklet som ett nytänkande miljonprogramområde med inhägnade gårdar med lekplatser, där barnen skulle kunna släppas ut och leka och känna sig trygga.  Det blev inte så. I stället är det ett av de sex områden som polisen pekar ut som särskilt utsatta i Göteborg.  Det vill säga en plats där den socioekonomiska statusen är låg och där kriminella element påverkar lokalsamhället.   Göteborgs mål är att ingen göteborgare ska bo i ett särskilt utsatt område 2025.  Man satsar därför 11 miljarder på att investera i renoveringar och nyproduktion och en social investeringsfond som ska stötta barn och ungdomar.  Den intervjuade gängmedlemmen berättar att han inte gått ur nian. Han är inte ensam. Det säger något om var vi måste börja.  Göteborgs strategi handlar om att skapa framtidstro. Det är ett steg på vägen, men tiden börjar rinna ut.  Under tiden tvingas familj, arbetskollegor och vänner sörja en man som försökte minska brottsligheten och skapa trygghet för dem som bor i Biskopsgården. ",01,juli,2021,https://www.aftonbladet.se/nyheter/kolumnister/a/bn3JpB/valdets-granser-har-forflyttats
344, 22 december 2019 kl. 21.20,Ung man utsatt för mordförsök med kniv,"En man knivhöggs med flera hugg i Kortedala i Göteborg på söndagskvällen, rapporterar Göteborgs-Posten. Det är oklart hur svårt skadad mannen, som är i 20-årsåldern, är men han var vid medvetande när han fördes till sjukhus i ambulans. Händelsen är rubricerad som försök till mord. Ingen misstänkt är gripen, men en eller flera gärningsman ska ha setts lämna platsen. ",22,december,2019,https://www.aftonbladet.se/nyheter/a/50QR5E/ung-man-utsatt-for-mordforsok-med-kniv
345, 20 augusti 2020 kl. 19.35,NULL,En man i 20-årsåldern hittades skadad i Hisings backa i  Göteborg Enligt polisen ska mannens skadeläge vara allvarligt men inte livshotande. Brottsplatsen har spärrats av och tomhylsor har hittats. Ingen misstänkt har gripits för dådet. ,20,augusti,2020,https://www.aftonbladet.se/nyheter/a/QonrKJ/skottlossning-i-goteborg--en-skadad
346, 12 juni 2020 kl. 13.18,Rättegång planeras om knivmord på skola,"Det kommer att bli rättegång om mordet på en skolpojke i  Göteborg Båda de inblandade pojkarna är under 15 år. Det innebär att den misstänkte inte kan åtalas. Men socialtjänsten har begärt att åklagaren ska driva en bevistalan, så att en domstol får ta ställning till vad som hänt. Den misstänkte pojken blev utpekad av vittnen. Men han nekar till brottet, enligt Göteborgs-Posten. Den nu mordmisstänkte pojken uppges ha blivit rånad strax före knivdådet. Två tonåringar är misstänkta i den utredningen. ",12,juni,2020,https://www.aftonbladet.se/nyheter/a/QoGw2x/rattegang-planeras-om-knivmord-pa-skola
347, 26 september 2019 kl. 17.01,NULL,"En man och en kvinna i medelåldern har anhållits misstänkta för mord i  Göteborg De greps natten mot torsdag efter att polisen kontaktats av vittnen som sett, och fotograferat, vad de uppfattat som mänskliga kvarlevor i anslutning till en bil i Angered. De anhållna är skäligen misstänkta, alltså den lägre misstankegraden, enligt Andersson. ",26,september,2019,https://www.aftonbladet.se/nyheter/a/50M2zb/vittne-sag-kroppsdelar--tva-anhallna-for-mord
348, 03 juli 2020 kl. 15.42,NULL,"I december förra året hittades en man i 20-årsåldern död utanför en förskola i Lövgärdet i  Göteborg Nu döms två personer för brottet. Åklagarens teori är att gärningsmännen först planerade att råna offret på narkotika. Men konfrontationen slutade med dödligt knivvåld och en av gärningsmännen, en 17-årig pojke, döms för rån och mord till tre år och sex månaders sluten ungdomsvård. Den andra gärningsmannen, som är 20 år, döms till fängelse i två år, för rån och skyddande av brottsling, grovt brott. Det senare då 20-åringen hjälpte till att flytta kroppen till terrängen, enligt tingsrätten. ",03,juli,2020,https://www.aftonbladet.se/nyheter/a/BRoBml/man-dodades-av-66-hugg-mot-huvudet--tva-doms
349,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/6071675baad261001ada73a3
350, 22 maj 2020 kl. 17.40,NULL,"En kvinna i 55-årsåldern har avlidit efter att ha blivit knivskuren. Överfallet inträffade den 10 maj vid en gångbro i  Kungälv En pojke under 15 år misstänks för knivöverfallet som skedde vid 03-tiden, meddelade polisen tidigare i veckan. Pojken har omhändertagits av socialtjänst och misstänks nu för mord, skriver GT. Han tros ha varit ute efter kvinnans mobiltelefon. ",22,maj,2020,https://www.aftonbladet.se/nyheter/a/kJ7e59/kvinna-dod--ung-pojke-misstankt-for-mord
351, 28 januari 2020 kl. 15.47,NULL,"En busschaufför i  Göteborg Attacken skedde i Eriksbo i nordöstra Göteborg, utanför bussen och i anslutning till busshållsplatsen. Busstrafiken vid en hållplats drogs tillfälligt in efter händelsen, uppger Göteborgs-Posten. Ingen misstänkt har gripits, men polisen tror att en sådan snart kan påträffas. Chauffören och flera vittnen är hörda av polisen men fler vittnen ska höras. Film från bevakningskamera på bussen är också säkrad. ",28,januari,2020,https://www.aftonbladet.se/nyheter/a/dOBaJw/mordforsok-mot-busschauffor--ingen-gripen
352,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5ec3b01b3e902300111eff49
353, 26 februari 2021 kl. 11.49,Sänkt straff för knivdåd i Göteborg,"En man i 40-årsåldern som dömts för att knivdödat en yngre man i centrala Göteborg förra året får sitt straff sänkt, rapporterar GT. Mannen dömdes i tingsrätten till tolv års fängelse för mord. Hovrätten ändrar dock rubriceringen till dråp och sänker straffet till nio års fängelse. Den knivskurne mannen, som var i 25-årsåldern, hittades svårt skadad vid Hedens busshållplats den 26 augusti i fjol. Männen kände inte varandra sedan tidigare, men hade tidigare samma kväll hamnat i bråk efter att ha träffat på varandra vid Frölunda torg. Den nu dömde mannen har erkänt att han knivhögg offret, men hävdar att det handlade om nödvärn. ",26,februari,2021,https://www.aftonbladet.se/nyheter/a/Gajv56/sankt-straff-for-knivdad-i-goteborg
354,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5f5db0576c997d001817bd70
355, 29 december 2019 kl. 18.45,Man sköts ihjäl utanför en pizzeria,Skottlossningen inträffade vid 18-tiden. Bägge männen är kända av polisen sedan tidigare. Göteborg Polisen har rubricerat brottsutredningen som mord samt försök till mord. Inget vapen har hittats och ingen misstänkt har gripits. Polisen hanterar dödsskjutningen som en särskild händelse och fortsätter att undersöka platsen med bland annat dörrknackning. Dessutom har polisen aktiverat ett så kallat kontaktcenter som ringer runt till personer i området som bor inom en viss radie från brottsplatsen. ,29,december,2019,https://www.aftonbladet.se/nyheter/a/opmBnm/man-skots-ihjal-utanfor-en-pizzeria
356, 21 januari 2021 kl. 07.53,Ny misstänkt i utredningen efter gängmord,"Det var den 3 maj som en man i 30-årsåldern sköts till döds med flera skott. Förutom det mordet rör polisens förundersökning även misstankar om förberedelse till mord på tre släktingar till den mördade mannen. Häktningsförhandling mot den nu misstänkte mannen, som är i 30-årsåldern, hölls under onsdagen. Göteborgs Sverige har därför begärt tillåtelse hos de spanska myndigheterna om att få lagföra mannen också för annan brottslighet än det han är utlämnad för. Tanken är att utredningen under våren ska utmynna i Göteborgs största gängrättegång någonsin. Tidigare har åklagaren Helena Treiberg Claeson sagt att hon hoppas kunna väcka åtal under mars månad. ",21,januari,2021,https://www.aftonbladet.se/nyheter/a/nAv15x/ny-misstankt-i-utredningen-efter-gangmord
357, 17 maj 2021 kl. 18.45,NULL,"Brottet begicks i hennes hem. Kort därpå fick polisen tag i två personer som togs in på förhör. Polisen underströk då för SVT Väst att de inte nödvändigtvis var misstänkta, men att de kunde ha något att berätta. Senare under kvällen greps en annan person, berättar polisbefälet Morten Gunneng för TT. Det är en man i 35-årsåldern som misstänks för mord. Omständigheterna kring våldsdådet är i övrigt inte kända. Det framgår inte om de inblandade var bekanta med varandra. Kvinnans lägenhet har spärrats av för att undersökas. Bilder i Göteborgsmedier visar hur polisens tekniker arbetar på platsen, även utanför lägenheten och omkring byggnaden. Arbetet pågick ännu vid 22-tiden på kvällen, enligt  ",17,maj,2021,https://www.aftonbladet.se/nyheter/a/7Ke9BK/aldre-kvinna-knivdodad--man-gripen
358, 16 juni 2021 kl. 21.44,Ung man skjuten i Biskopsgården i Göteborg,"En man i 18-årsåldern har hittats skadad i stadsdelen Biskopsgården i Göteborg. Mannen har blivit skjuten i benet enligt polisen och han har förts till sjukhus i ambulans med oklart skadeläge. Enligt polisens presstalesperson Peter Adlersson var mannen vid medvetande och gick att prata med när han hittades. Platsen spärrades av och en förundersökning om försök till mord har inletts. Polisen uppger vid 22-tiden att tomhylsor har hittats på platsen. Ett antal inringare larmade strax innan klockan 21 efter att ha hört skott i närheten av en skola. Flera personer har setts lämna platsen efter skjutningen. Polisen håller vittnesförhör, knackar dörr och söker i området, men ingen är frihetsberövad. ",16,juni,2021,https://www.aftonbladet.se/nyheter/a/R9v8B2/ung-man-skjuten-i-biskopsgarden-i-goteborg
359, 12 januari 2020 kl. 19.30,NULL,En man har förts till sjukhus efter lägenhetsbrand i Hovås i  Göteborg Räddningstjänsten larmades till lägenheten vid 17.40-tiden på söndagen och när släckningsarbetet påbörjats hittades mannen. Platsen är avspärrad och en kriminalteknisk undersökning ska genomföras så snart som möjligt enligt polisen. Mannen vårdas på sjukhus men hur allvarliga skador han har fått är oklart. ,12,januari,2020,https://www.aftonbladet.se/nyheter/a/Ad9eLx/lagenhet-i-brand--misstankt-mordforsok
360, 19 november 2019 kl. 21.28,Man skjuten utanför livsmedelsbutik på Hisingen,Enligt polisen ska den misstänkta skjutningen ha ägt rum i Länsmansgården på Hisingen i  Göteborg På platsen hittas en man skottskadad. Mannen i 25-årsåldern är förd till sjukhus och händelsen är rubricerad som försök till mord. Mannen ska höras av polis på sjukhuset under natten. Ingen person är frihetsberövad i ärendet. I nyhetspodden Aftonbladet Daily pratar vi med kriminologen Sven Granath om hur man gör för att stoppa en våldsspiral.  ,19,november,2019,https://www.aftonbladet.se/nyheter/a/nal5Vo/man-skjuten-utanfor-livsmedelsbutik-pa-hisingen
361,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/60620999849d5300193686e4
362, 12 november 2020 kl. 13.59,Dömd för Wilma-mordet överklagar till HD,"Tishko Ahmed, som dömts för mordet på 17-åriga Wilma i  Uddevalla Hovrätten sänkte i oktober hans livstidsstraff till 18 års fängelse, men nu vädjar han i ett brev till HD om att bli helt frikänd, rapporterar Göteborgs-Posten. Den då 22-årige Tishko Ahmed, som varit Wilmas pojkvän, greps i sin bostad ett par dagar efter hennes försvinnande i november förra året. Senare hittades en kroppsdel som kan knytas till henne gömd i lägenheten. Tishko Ahmed har dömts för mord och brott mot griftefriden i både tingsrätt och hovrätt, men har hela tiden nekat till brott. ",12,november,2020,https://www.aftonbladet.se/nyheter/a/WOO9AG/domd-for-wilma-mordet-overklagar-till-hd
363, 03 maj 2020 kl. 19.49,Man sköts till döds i Göteborg,"En man i 30-årsåldern har skjutits ihjäl i  Göteborg Larmet om skottlossningen kom in till polisen strax före klockan sju på söndagskvällen. Polis på plats inledde livräddande åtgärder, men mannens liv gick inte att rädda och han dödsförklarades senare på sjukhus. Det innebär att förundersökningen nu rubriceras till mord. Ingen har ännu gripits. Flera polispatruller är på plats och polisen har beslutat om en så kallad särskild händelse, vilket innebär att ytterligare personal kan tillföras. Polisen håller förhör med vittnen och en teknisk undersökning kommer att genomföras. Polisen har uppgift om en bil som lämnat platsen i samband med skottlossningen, men har inte kunnat hitta den. ",03,maj,2020,https://www.aftonbladet.se/nyheter/a/GGR0vx/man-skots-till-dods-i-goteborg
364, 04 januari 2020 kl. 12.48,Person hittad död utomhus,En död person har hittats utomhus i Olofstorp utanför  Göteborg Det var en privatperson som hittade kroppen på lördagsförmiddagen. Enligt polisen har kroppen legat ett tag på platsen. Fyndplatsen har spärrats av för en teknisk undersökning. ,04,januari,2020,https://www.aftonbladet.se/nyheter/a/naPKKL/person-hittad-dod-utomhus
365,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5eaeafa45f7227001872cf2b
366, 02 september 2019 kl. 20.34,Oväntad miss försenar mordärende igen,"I mars 2003 hittades en 31-årig kvinna mördad i en grannes lägenhet i stadsdelen Högsbo i västra  Göteborg Kvinnans exmake, en nu 59-årig kinesisk affärsman, var tidigt misstänkt för inblandning i mordet på henne. Han hann släppas innan grannen hittades, men blev senare internationellt efterlyst. På hösten 2014 greps affärsmannen under en resa till Storbritannien. Han ställdes inför rätta för anstiftan till två mord, men friades efter flera turer i Göteborgs tingsrätt. Domen i september 2016 överklagades av kammaråklagare Ulrika Bentelius Egelrud. Sedan dess har hovrätten i Göteborg försökt få till en rättegång. De tre första försöken misslyckades för att den åtalade mannen inte kunnat hittas för delgivning i Kina. Enligt den senaste planen skulle rättegången starta på onsdag. Men så blir det inte. Nu av en ny anledning. Länsstyrelsen i Stockholm, som är central myndighet för delgivning utomlands, hade missat att göra något åt saken i detta fall. Hovrätten sände en begäran till länsstyrelsen i november förra året, och domstolen fick ett kvitto, men sedan hände inget mer. För en månad sedan undrade hovrätten om delgivningen lyckats. Då upptäcktes misstaget. Nu planerar hovrätten ett femte försök att hålla rättegång, med start i april 2020. Eftersom rättsprocessen inletts med åtal, dom och överklagande, blir de misstänkta brotten inte preskriberade. Enligt åklagaren beställde mannen mordet på sin exhustru på grund av en vårdnadstvist om parets son. Grannen mördades dels för att mordet på kvinnan skulle utföras i hans lägenhet, dels för att han skulle få skulden för mordet. Den kinesiske affärsmannen har nekat till anklagelserna. 59-åringen dömdes först i tingsrätten för anstiftan till ett av morden, men rättegången fick tas om för att en nämndeman skrivit om den på Twitter. Efter en andra rättegång friades mannen. ",02,september,2019,https://www.aftonbladet.se/nyheter/a/70Qkvo/ovantad-miss-forsenar-mordarende-igen
367, 20 juni 2020 kl. 19.04,NULL,En man har blivit skjuten i benet i Sollentuna enligt polisen i Stockholm län. Mannen ringde själv in och berättade om skottlossningen. Polispatrullen kunde konstatera att mannen hade en skottskada i benet. Han fördes till sjukhus. Beskjutningen skedde på en parkeringsplats i stadsdelen Edsberg vid 16-tiden på lördagen. Polisen spärrade av platsen i väntan på en teknisk undersökning. En förundersökning om försök till mord inleddes och på kvällen anhöll åklagaren en misstänkt man i sin frånvaro. Han kunde gripas på centralstationen i Göteborg efter samverkan med polisregion Väst. ,20,juni,2020,https://www.aftonbladet.se/nyheter/a/2GE1m4/man-skjuten-i-benet--misstankt-gripen
368,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5e97b21356ebea001118cf87
369, 17 juli 2021 kl. 05.24,Ingen gripen efter knivskärning i Göteborg,En man i 30-årsåldern hittades vid 23.40 under fredagskvällen allvarligt skadad utomhus i Lövgärdet i nordöstra Göteborg. Vid 08-tiden på lördagsmorgonen hade ännu ingen frihetsberövats. Enligt honom misstänks flera personen vara inblandade i händelsen. Polisen har upprättat en anmälan om försök till mord och en teknisk undersökning har utförts vid platsen. Mannens tillstånd bedömdes under natten som kritiskt men inte livshotande. ,17,juli,2021,https://www.aftonbladet.se/nyheter/a/k3paEa/ingen-gripen-efter-knivskarning-i-goteborg
370,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/610267e90d679c00125a5a16
371,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/6121e7a200a90e0013045e00
372,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/606583f3aad261001ad89d3f
373, 31 maj 2021 kl. 15.41,NULL,"Vad som utlöste helgens våld i stadsdelen Hjällbo i Göteborg är fortfarande inte klarlagt. På fredagskvällen uppstod ett stort bråk på stadsdelens torg där det uppgavs att uppåt 100 personer var inblandade. Ett 30-tal omhändertogs av polisen. Tre personer, som misstänks ha varit pådrivande, anhölls efter bråket. Häktningsförhandlingar mot dem hålls på tisdagsförmiddagen. På söndagseftermiddagen sköts en man i 40-årsåldern ihjäl vid samma plats. Två andra personer fördes till sjukhus. En ung man har anhållits för mord. Polisen tror att händelserna hänger ihop, och att två grupper har stått mot varandra. Dödsskjutningen skedde trots att poliser fanns alldeles i närheten. Enligt Göteborgs-Posten försökte den misstänkte mördaren fly på cykel, men blev upphunnen av förföljare som sedan gick till angrepp mot honom. Polisen fick skjuta varningsskott för att avbryta misshandeln. Fredagens stora bråk kom plötsligt. Samhörigheten inom grupperna kan se ut på olika sätt. Polisen har fått en stor mängd vittnesuppgifter om skottlossningen. Det finns även mycket material från övervakningskameror att gå igenom. Ulf Merlander tycker att allmänheten i Hjällbo ska försöka leva som vanligt så mycket det går, trots våldsutbrottet. Ulf Merlander har jobbat länge i nordöstra Göteborg, och är inte förvånad över att så många människor deltog i fredagens stora slagsmål. Våldsutbrottet skedde under en helg, när många är lediga från arbete eller skola. Han anser att tänkesättet bidrar till risken att en liten gnista ska utlösa en stor konflikt. ",31,maj,2021,https://www.aftonbladet.se/nyheter/a/PR7Gv0/man-skots-ihjal--trots-att-polisen-var-dar
374, 11 juni 2020 kl. 10.29,Tre åtalas för bombdåd i Göteborg,"Smällen var så kraftig att bilen flög i luften och landade, totalt förstörd, på sitt tak. Flera andra bilar skadades också. Nu åtalas tre män efter sprängdådet, som inträffade i Landvetter utanför  Göteborg Männen åtalas dessutom för en kraftig explosion utanför ett sjuvåningshus i Angered i nordöstra Göteborg i slutet av september. De tre männen åtalas misstänkta för bland annat grov allmänfarlig ödeläggelse och försök till mord. Ytterligare två personer är misstänka, men har lämnat landet. ",11,juni,2020,https://www.aftonbladet.se/nyheter/a/4qMLKq/tre-atalas-for-bombdad-i-goteborg
375, 31 oktober 2019 kl. 15.39,Mordmisstankar avskrivs vid två dödsfall i Göteborg,"På onsdagsförmiddagen hittades en död man i en bostad i Kortedala i  Göteborg Det är inte den enda mordutredningen som avslutas i staden efter kort tid. Även när en kvinna hittades död natten mot onsdagen i en bostad i Vidkärr misstänktes till en början mord. Även i det fallet har dock utredningen visat att det inte rör sig om något brott, och en man som anhölls misstänkt har nu släppts. ",31,oktober,2019,https://www.aftonbladet.se/nyheter/a/0nqpe2/mordmisstankar-avskrivs-vid-tva-dodsfall-i-goteborg
